Table,Column,Data Type,Missing,Unique Values
olist_closed_deals_dataset.csv,mql_id,object,0,842
olist_closed_deals_dataset.csv,seller_id,object,0,842
olist_closed_deals_dataset.csv,sdr_id,object,0,32
olist_closed_deals_dataset.csv,sr_id,object,0,22
olist_closed_deals_dataset.csv,won_date,object,0,824
olist_closed_deals_dataset.csv,business_segment,object,1,33
olist_closed_deals_dataset.csv,lead_type,object,6,8
olist_closed_deals_dataset.csv,lead_behaviour_profile,object,177,9
olist_closed_deals_dataset.csv,has_company,object,779,2
olist_closed_deals_dataset.csv,has_gtin,object,778,2
olist_closed_deals_dataset.csv,average_stock,object,776,6
olist_closed_deals_dataset.csv,business_type,object,10,3
olist_closed_deals_dataset.csv,declared_product_catalog_size,float64,773,33
olist_closed_deals_dataset.csv,declared_monthly_revenue,float64,0,27
olist_customers_dataset.csv,customer_id,object,0,99441
olist_customers_dataset.csv,customer_unique_id,object,0,96096
olist_customers_dataset.csv,customer_zip_code_prefix,int64,0,14994
olist_customers_dataset.csv,customer_city,object,0,4119
olist_customers_dataset.csv,customer_state,object,0,27
olist_geolocation_dataset.csv,geolocation_zip_code_prefix,int64,0,19015
olist_geolocation_dataset.csv,geolocation_lat,float64,0,717360
olist_geolocation_dataset.csv,geolocation_lng,float64,0,717613
olist_geolocation_dataset.csv,geolocation_city,object,0,8011
olist_geolocation_dataset.csv,geolocation_state,object,0,27
olist_marketing_qualified_leads_dataset.csv,mql_id,object,0,8000
olist_marketing_qualified_leads_dataset.csv,first_contact_date,object,0,336
olist_marketing_qualified_leads_dataset.csv,landing_page_id,object,0,495
olist_marketing_qualified_leads_dataset.csv,origin,object,60,10
olist_order_items_dataset.csv,order_id,object,0,98666
olist_order_items_dataset.csv,order_item_id,int64,0,21
olist_order_items_dataset.csv,product_id,object,0,32951
olist_order_items_dataset.csv,seller_id,object,0,3095
olist_order_items_dataset.csv,shipping_limit_date,object,0,93318
olist_order_items_dataset.csv,price,float64,0,5968
olist_order_items_dataset.csv,freight_value,float64,0,6999
olist_order_payments_dataset.csv,order_id,object,0,99440
olist_order_payments_dataset.csv,payment_sequential,int64,0,29
olist_order_payments_dataset.csv,payment_type,object,0,5
olist_order_payments_dataset.csv,payment_installments,int64,0,24
olist_order_payments_dataset.csv,payment_value,float64,0,29077
olist_order_reviews_dataset.csv,review_id,object,0,98410
olist_order_reviews_dataset.csv,order_id,object,0,98673
olist_order_reviews_dataset.csv,review_score,int64,0,5
olist_order_reviews_dataset.csv,review_comment_title,object,87656,4527
olist_order_reviews_dataset.csv,review_comment_message,object,58247,36159
olist_order_reviews_dataset.csv,review_creation_date,object,0,636
olist_order_reviews_dataset.csv,review_answer_timestamp,object,0,98248
olist_orders_dataset.csv,order_id,object,0,99441
olist_orders_dataset.csv,customer_id,object,0,99441
olist_orders_dataset.csv,order_status,object,0,8
olist_orders_dataset.csv,order_purchase_timestamp,object,0,98875
olist_orders_dataset.csv,order_approved_at,object,160,90733
olist_orders_dataset.csv,order_delivered_carrier_date,object,1783,81018
olist_orders_dataset.csv,order_delivered_customer_date,object,2965,95664
olist_orders_dataset.csv,order_estimated_delivery_date,object,0,459
olist_products_dataset.csv,product_id,object,0,32951
olist_products_dataset.csv,product_category_name,object,610,73
olist_products_dataset.csv,product_name_lenght,float64,610,66
olist_products_dataset.csv,product_description_lenght,float64,610,2960
olist_products_dataset.csv,product_photos_qty,float64,610,19
olist_products_dataset.csv,product_weight_g,float64,2,2204
olist_products_dataset.csv,product_length_cm,float64,2,99
olist_products_dataset.csv,product_height_cm,float64,2,102
olist_products_dataset.csv,product_width_cm,float64,2,95
olist_sellers_dataset.csv,seller_id,object,0,3095
olist_sellers_dataset.csv,seller_zip_code_prefix,int64,0,2246
olist_sellers_dataset.csv,seller_city,object,0,611
olist_sellers_dataset.csv,seller_state,object,0,23
product_category_name_translation.csv,product_category_name,object,0,71
product_category_name_translation.csv,product_category_name_english,object,0,71
